applicant_id,dup_group_id,record_kind,full_name,dob,phone,pan,email,address,city,state,pincode,loan_amount,loan_purpose,applied_on
APP000000,7576,original,Kiran Kumar Nair,1965-10-18,8620346515,GCLSK0091F,kiran_kumar_nair363@gmail.com,"1th Floor, 219 Nehru Street, Indiranagar",Lucknow,Uttar Pradesh,226094,725000,Equipment Purchase,2025-02-16
APP000001,8470,original,Rahul Devi Shukla,1966-01-02,6683038088,XCTXD2940U,rahul.devi.shukla32@gmail.com,"Flat 1103, 76 Lake Side Road, Vasant Kunj",Mysuru,Karnataka,570045,4825000,Equipment Purchase,2025-01-03
APP000002,4873,exact_key,Vikas Kummar Kapoor,1990-06-20,7816800525,DWSXV4763S,vikas_kummar_kapoor366@yahoo.co.in,"345 Bazaar Street, HSR Layout",Surat,Gujarat,395015,1425000,Debt Consolidation,2025-03-24
APP000003,8368,original,Priya Rani Joshi,1967-11-06,7054542191,ABLAO4458S,priyaranijoshi20@gmail.com,"Flat 267, 283 MG Road, Malviya Nagar",Chennai,Tamil Nadu,600009,4150000,Debt Consolidation,2025-04-22
APP000004,7085,original,Ravi Chandra Bhat,1994-04-12,8495610003,YITTS8394O,ravi_chandra_bhat189@gmail.com,"2th Floor, 120 Church Street, Hinjewadi",Hyderabad,Telangana,500064,625000,Working Capital,2025-04-28
APP000005,7063,original,Shalini Prasad Patel,1970-05-07,7741028174,OYLVM4452A,shaliniprasadpatel440@yahoo.co.in,"11th Floor, 179 MG Road, Salt Lake",Mysuru,Karnataka,570085,1925000,Business Expansion,2025-08-10
APP000006,7838,original,Vikas Prasad Iyer,1995-02-25,8962630631,LCCZL3505Y,vikas_prasad_iyer264@gmail.com,"17th Floor, 53 Market Road, Adyar",Coimbatore,Tamil Nadu,641009,4700000,Debt Consolidation,2025-08-04
APP000007,8758,hard_negative_household,Shreya Kulkarni,1989-07-03,6562020416,TLJJV3906L,shreyakulkarni556@yahoo.co.in,"390 MG Road, Vasant Kunj",Kolkata,West Bengal,700090,1875000,Business Expansion,2025-08-22
APP000008,979,original,Neha Kumar Kapoor,1982-04-07,8604878081,GBJCY5963R,nehakumarkapoor626@rediffmail.com,"351 Park Avenue, Koramangala",Delhi,Delhi,110073,2375000,Debt Consolidation,2025-08-05
APP000009,5475,original,Divya Nath Joshi,1996-12-21,7058401993,WDZQG7712C,divya_nath_joshi840@rediffmail.com,"Flat 194, 372 Gandhi Marg, Sector 45",Ahmedabad,Gujarat,380020,4100000,Working Capital,2025-05-04
APP000010,8501,original,Kiran Rani Mehta,1974-03-03,8627190581,MGQXT4737U,kiran_rani_mehta170@gmail.com,"14th Floor, 197 Church Street, Koramangala",Kochi,Kerala,682004,3375000,Working Capital,2025-11-07
APP000011,2510,original,Manish Reddy,1968-07-06,7910474286,VCLPH5395N,manish.reddy930@gmail.com,"145 Lake Side Road, Adyar",Noida,Uttar Pradesh,201075,2050000,Debt Consolidation,2025-12-12
APP000012,6126,original,Ashwin Nath Yadav,1999-12-23,9778959732,JGXGB7817R,ashwin_nath_yadav422@outlook.com,"242 Lake Side Road, Salt Lake",Coimbatore,Tamil Nadu,641036,2475000,Inventory Finance,2025-05-05
APP000013,519,original,Anjali Khanna,1979-10-02,9072025272,CCNZS3965X,anjali_khanna649@rediffmail.com,"189 Lake Side Road, Anna Nagar",Kolkata,West Bengal,700043,4975000,Working Capital,2025-08-22
